,latitude,longitude,free_bikes
0,49.262487,-123.114397,25
1,49.274566,-123.121817,11
2,49.279764,-123.110154,13
3,49.260599,-123.113504,3
4,49.264215,-123.117772,5
5,49.270877,-123.115103,4
6,49.26893,-123.11813,4
7,49.271721,-123.104207,3
8,49.287214,-123.11287,23
9,49.282409,-123.118541,2
10,49.287097,-123.118551,18
11,49.273471,-123.118016,17
12,49.282758,-123.122092,11
13,49.28602,-123.116624,2
14,49.279739,-123.116251,14
15,49.277483,-123.114279,0
16,49.275679,-123.116963,10
17,49.282759,-123.106955,10
18,49.288444,-123.139203,18
19,49.289124,-123.12196,10
20,49.28062,-123.12482,0
21,49.279938,-123.127478,2
22,49.273663,-123.127075,9
23,49.28972,-123.144028,12
24,49.285253,-123.134356,7
25,49.283343,-123.131099,4
26,49.284605,-123.108662,28
27,49.279821,-123.10802,12
28,49.278004,-123.105664,13
29,49.279342,-123.101822,9
30,49.273833,-123.114373,17
31,49.28526,-123.141809,21
32,49.281506,-123.120101,4
33,49.276115,-123.114496,12
34,49.272827,-123.147744,9
35,49.269361,-123.13782,8
36,49.2653,-123.13811,6
37,49.262598,-123.138921,3
38,49.25894,-123.139272,2
39,49.258763,-123.115392,7
40,49.266723999999996,-123.104824,5
41,49.262141,-123.101961,9
42,49.268269,-123.147885,15
43,49.275717,-123.142564,15
44,49.276436,-123.11877,5
45,49.277844,-123.120942,7
46,49.265089,-123.119425,6
47,49.28026,-123.135244,12
48,49.291909,-123.140713,8
49,49.293257,-123.138563,8
50,49.288011,-123.132006,16
51,49.28117,-123.104419,15
52,49.283227,-123.120523,8
53,49.299292,-123.130281,6
54,49.29534,-123.150433,4
55,49.294318,-123.148808,12
56,49.298657,-123.121176,9
57,49.259183,-123.120126,8
58,49.263837,-123.105173,11
59,49.270721,-123.146175,19
60,49.265605,-123.152566,1
61,49.267222,-123.153157,1
62,49.262255,-123.126217,16
63,49.257654,-123.153212,10
64,49.25919,-123.148268,0
65,49.25741,-123.148531,2
66,49.285953,-123.124066,7
67,49.280881,-123.130672,0
68,49.256845,-123.120071,7
69,49.25849,-123.104799,5
70,49.258425,-123.100792,6
71,49.270905,-123.126006,4
72,49.273568,-123.129935,14
73,49.277141,-123.122589,1
74,49.267859,-123.145782,15
75,49.265336,-123.145823,15
76,49.267628,-123.127698,13
77,49.275938,-123.145939,6
78,49.2756,-123.102661,18
79,49.284157,-123.099917,16
80,49.258924,-123.152591,9
81,49.266774,-123.141135,10
82,49.273355,-123.154493,14
83,49.276144,-123.151272,11
84,49.268339,-123.157443,5
85,49.284062,-123.095097,9
86,49.261742,-123.13148,0
87,49.262206,-123.109091,1
88,49.27023,-123.10651,14
89,49.262062,-123.104656,8
90,49.27033,-123.10275,13
91,49.258902,-123.109596,7
92,49.282224,-123.132778,2
93,49.265071,-123.123864,4
94,49.265198,-123.131043,8
95,49.273691,-123.102232,15
96,49.2685027,-123.0975014,10
97,49.288682,-123.11818,8
98,49.271741,-123.155421,16
99,49.262822,-123.14338,16
100,49.263635,-123.099236,3
101,49.28763,-123.127245,4
102,49.297933,-123.130758,15
103,49.258819,-123.131317,1
104,49.280284,-123.097052,6
105,49.276294,-123.106534,9
106,49.277468999999996,-123.081315,10
107,49.277665,-123.073653,21
108,49.277436,-123.070427,4
109,49.280332,-123.070068,8
110,49.279369,-123.091241,10
111,49.283992,-123.091206,9
112,49.274881,-123.069323,5
113,49.275882,-123.071865,3
114,49.273777,-123.092723,11
115,49.265005,-123.079481,16
116,49.271377,-123.069416,2
117,49.268616,-123.069908,10
118,49.266969,-123.069936,6
119,49.263242,-123.070521,10
120,49.261403,-123.070102,3
121,49.261263,-123.073707,7
122,49.262242,-123.081459,3
123,49.262321,-123.09306,1
124,49.264251,-123.073853,8
125,49.266751,-123.073501,13
126,49.270684,-123.073562,2
127,49.2731,-123.0732,4
128,49.254667,-123.101389,13
129,49.256694,-123.096579,5
130,49.258352,-123.096337,6
131,49.258817,-123.092797,12
132,49.26151,-123.089413,3
133,49.263382,-123.088837,7
134,49.261353,-123.085333,5
135,49.264466,-123.085183,11
136,49.280197,-123.065859,9
137,49.266725,-123.065925,6
138,49.261188,-123.066009,9
139,49.256857,-123.065646,9
140,49.283986,-123.065264,15
141,49.257985,-123.083366,10
142,49.257939,-123.089531,0
143,49.256496,-123.075426,3
144,49.283236,-123.070443,9
145,49.267266,-123.090786,10
146,49.265242,-123.095577,7
147,49.265213,-123.090785,0
148,49.302577,-123.155616,26
149,49.277595,-123.09583,13
150,49.279235,-123.087528,6
151,49.277333,-123.087359,1
152,49.273103,-123.069892,6
153,49.261973,-123.09725,2
154,49.275295,-123.132585,8
155,49.285871,-123.12105,13
156,49.284893,-123.128685,0
157,49.263962,-123.112621,13
158,49.277615,-123.091654,8
159,49.282214,-123.114101,3
160,49.266456,-123.100324,12
161,49.268216,-123.103168,12
162,49.284554,-123.111031,8
163,49.280216,-123.117639,2
164,49.266314,-123.116011,11
165,49.280852,-123.084746,7
166,49.285512,-123.1384,13
167,49.27821,-123.136972,9
168,49.281301,-123.139108,9
169,49.283298,-123.142288,5
170,49.280787,-123.115271,13
171,49.266476,-123.109389,11
172,49.290587,-123.13625,20
173,49.262835,-123.152626,8
174,49.256825,-123.105234,6
175,49.275683,-123.124388,8
176,49.263518,-123.09568,11
177,49.28691,-123.128818,13
178,49.282503,-123.124697,5
179,49.283749,-123.136133,10
180,49.262944,-123.148109,8
181,49.27029,-123.135025,22
182,49.280427,-123.074082,11
183,49.279259,-123.119145,10
184,49.285836,-123.127265,10
185,49.272969,-123.164325,5
186,49.27247,-123.185643,22
187,49.271471,-123.17731,13
188,49.290112,-123.127062,12
189,49.263523,-123.155267,9
190,49.264928,-123.168068,15
191,49.264483,-123.173926,9
192,49.264579,-123.18373,9
193,49.263746,-123.069892,7
194,49.258761,-123.127071,2
195,49.268974,-123.190701,13
196,49.273011,-123.159663,5
197,49.266924,-123.173849,10
198,49.264326,-123.164725,12
199,49.266636,-123.183661,10
200,49.254818,-123.114785,7
201,49.268837,-123.177633,11
202,49.255034,-123.120226,4
203,49.271044,-123.170661,10
204,49.252691,-123.101289,6
205,49.272172,-123.097978,13
206,49.271082,-123.191458,20
207,49.27808,-123.130557,13
208,49.269969,-123.109623,6
209,49.287528,-123.142139,14
210,49.28803,-123.142135,13
211,49.259579,-123.114769,7
212,49.2890705989865,-123.138407369468,14
213,49.287782,-123.12395,14
214,49.28512,-123.11242,8
215,49.247854,-123.153422,9
216,49.265939,-123.1129,6
217,49.261122,-123.097571,3
218,49.267725,-123.11311,12
219,49.245135,-123.116098,6
220,49.274232,-123.129998,14
221,49.238105,-123.154966,2
222,49.246243,-123.124373,7
223,49.249722,-123.104991,2
224,49.243375,-123.104978,16
225,49.282087,-123.056909,13
226,49.283968,-123.061615,2
227,49.287464,-123.060771,11
228,49.285575,-123.061575,5
229,49.251358,-123.115637,2
230,49.249184,-123.116141,0
231,49.245535,-123.120496,6
232,49.289255,-123.132677,22
233,49.252656,-123.067965,6
234,49.259469,-123.145718,8
235,49.277178,-123.13,15
236,49.291597,-123.129158,15
237,49.247203999999996,-123.101549,11
238,49.2856698,-123.1125432,10
239,49.25094,-123.101306,6
240,49.270783,-123.141564,9
241,49.264019,-123.209176,4
242,49.2658,-123.20596,13
243,49.265442,-123.187738,7
